"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Pichincha",2.94,1.85,3.71,3.07,4.23,3.47,3401,2.46,58530.19,4.06,60.35,88.85,10.97,11.14,2016-06-30,112.96,12,25.36,20.19,0.67,8.53
"Ripley",0,0,1.99,1.61,0,1.99,983,0.37,37421.1,15.27,59.38,89.04,32.16,6.19,2016-06-30,283.32,14.44,494.29,32.47,3.76,19.25
"Santander",3.99,4.26,0.67,0.54,1.16,0.3,33915,0.31,3112995.57,1.1,36.52,81.4,4.52,8.51,2016-06-30,301.98,14.87,53.83,23.26,1.26,13.03
"Scotiabank",1.39,0.22,3.46,2.85,4.43,2.94,6651,0.64,147307.86,2.47,37.33,83.65,7.69,8.28,2016-06-30,121.82,14.02,43.41,17.68,1.99,17.64
"Azteca",52.68,25.11,10.7,9.15,0,10.7,153,0,3351.43,22.16,63.66,96.18,45.71,4.87,2016-07-31,218.18,24.07,76.57,61.27,1.83,12.97
"B. del Comercio",9.01,1.8,3.53,2.99,17.63,2.09,1789,1.78,80274.16,4.41,53.33,88.37,12.17,7.67,2016-07-31,170.36,12.71,87.79,27.05,1.83,15
"BBVA",1.27,0.4,2.43,2.13,3.14,2.07,9074,1.75,149483.41,2.16,40.84,82.9,7.15,12.87,2016-07-31,187.92,13.82,39.08,31.71,1.7,21.86
"BCP",0.99,0.22,2.76,2.12,1.96,3.2,3772,0.87,153738.77,2.81,38.38,79.85,8.13,10.07,2016-07-31,146.97,15.76,36.46,29.79,2.28,23.36
"BIF",2.37,1.05,2.33,2.09,3.78,1.63,6149,1.77,90802.15,2.31,44.24,86.55,8.13,16.17,2016-07-31,165.44,12.88,46.09,13.84,0.94,13.11
"Cencosud",0,0,5.8,4.87,0,5.8,639,1.23,7769.77,28.87,72.06,85.71,45.69,2.89,2016-07-31,139.03,19.76,219.55,65.59,1.29,5.14
